"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Šoberl D.; Kalin J.; Anžlin A.; Kreslin M.; Čopič Pucihar K.; Kljun M.; Hekič D.; Žnidarič A.","Šoberl, Domen (55826412400); Kalin, Jan (55217935900); Anžlin, Andrej (56674538800); Kreslin, Maja (34872596700); Čopič Pucihar, Klen (42762031000); Kljun, Matjaž (14019698800); Hekič, Doron (57303841100); Žnidarič, Aleš (6506050864)","55826412400; 55217935900; 56674538800; 34872596700; 42762031000; 14019698800; 57303841100; 6506050864","Enhanced precision in axle configuration inference for bridge weigh-in-motion systems using computer vision and deep learning","2025","Computer-Aided Civil and Infrastructure Engineering","40","30","","6201","6216","0","10.1111/mice.70144","https://www.scopus.com/pages/publications/105021876434?origin=resultslist","Heavy goods vehicles (HGVs) have a significant impact on road and bridge infrastructure, with overloaded vehicles accelerating structural deterioration and increasing safety risks. Bridge weigh-in-motion (B-WIM) systems estimate gross vehicle weight (GVW) using strain measurements, but inaccuracies in axle configuration recognition can reduce reliability. This study presents a low-cost computer vision (CV) extension for existing B-WIM installations that verifies strain-inferred axle configurations using traffic camera images and flags GVW estimates as reliable or unreliable. Experiments on a data set of over 30,000 HGV records show that by combining convolutional neural networks with strain-based heuristics, GVW reliability can improve from 96.7% to 99.89%, effectively excluding nearly all erroneous measurements. The approach operates without interrupting ongoing B-WIM operations and can be applied retrospectively to historical data. Limitations include the inability to detect raised axles (RAs), which the method excludes as unreliable. This method provides a practical, high-precision enhancement for structural health monitoring of bridges. © 2025 The Author(s). Computer-Aided Civil and Infrastructure Engineering published by Wiley Periodicals LLC on behalf of Editor.","","Axles; Bridges; Computer vision; Convolutional neural networks; Costs; Deep learning; Strain measurement; Structural health monitoring; Vehicles; Axle configurations; Bridge infrastructure; Gross vehicle weight; Heavy goods vehicles; Overloaded vehicles; Road infrastructures; Roads and bridges; Safety risks; Structural deterioration; Weigh-in-motion systems; bridge; computer vision; machine learning; precision; strain measurement; transport vehicle; Deterioration","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021876434"
"Ali A.R.; Ramadan M.W.A.; Zometa P.","Ali, Amir R. (56293299500); Ramadan, Mohamed W. A. (58556783500); Zometa, Pablo (55490967600)","56293299500; 58556783500; 55490967600","Machine learning for EMG-based gesture recognition in brain–computer interfaces and humanoid robots","2025","International Journal of Intelligent Robotics and Applications","9","4","","1789","1800","5","10.1007/s41315-025-00463-1","https://www.scopus.com/pages/publications/105008574710?origin=resultslist","This paper implements a comparison study between three machine learning algorithms namely artificial neural network, decision tree, and random forest. This comparison is applied for the classification of hand gestures, specifically “thumbs up”, “Y-letter”, and “hand at rest”, using electromyography (EMG) data to identify motions collected from Myo armbands. The results of the three algorithms show the power of machine learning algorithms and how they can detect hand gestures from EMG signals in real-time and their accuracies with overall accuracies of 91.086% for the Artificial Neural Network (ANN), 93.28% for the Decision Tree (DT), and 95.58% for the Random Forest (RF). After the training phase, the three trained machine learning models are used to construct a brain-computer interface (BCI) as a Matlab Tool Box by using Matlab App Design. The BCI is implemented as a user-friendly application for commercial users who have no idea about machine learning and Matlab syntax. The second application is also applied using the trained machine learning models for Human–Robot interaction using GUCnoid 1.0 humanoid. The paper succeeds in achieving the comparison between machine learning algorithms, the BCI and HRI applications for commercial users, academics, and the medical and prosthetics fields. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2025.","Artificial neural networks; Brain computer interface; Decision tree; Electromyography signals; Gesture recognition; Human robot interaction; Machine learning; Random forest; Rehabilitation; Signal classification","Anthropomorphic robots; Biomedical signal processing; Classification (of information); Electromyography; Human robot interaction; Interfaces (computer); Learning systems; Machine learning; Man machine systems; Neural prostheses; Random forests; Electromyography signals; Gestures recognition; Hand gesture; Humans-robot interactions; Machine learning algorithms; Machine learning models; Machine-learning; Neural-networks; Random forests; Signal classification; Brain computer interface; Decision trees; Gesture recognition; Neural networks","Article","Final","","Scopus","2-s2.0-105008574710"
"Olza A.; Soto D.; Santana R.","Olza, Alexander (58521155500); Soto, David (8501597500); Santana, Roberto (8847615900)","58521155500; 8501597500; 8847615900","Domain Adaptation-enhanced searchlight: enabling classification of brain states from visual perception to mental imagery","2025","Brain Informatics","12","1","17","","","1","10.1186/s40708-025-00263-0","https://www.scopus.com/pages/publications/105009369560?origin=resultslist","In cognitive neuroscience and brain-computer interface research, accurately predicting imagined stimuli is crucial. This study investigates the effectiveness of Domain Adaptation (DA) in enhancing imagery prediction using primarily visual data from fMRI scans of 18 subjects. Initially, we train a baseline model on visual stimuli to predict imagined stimuli, utilizing data from 14 brain regions. We then develop several models to improve imagery prediction, comparing different DA methods. Our results demonstrate that DA significantly enhances imagery prediction in binary classification on our dataset, as well as in multiclass classification on a publicly available dataset. We then conduct a DA-enhanced searchlight analysis, followed by permutation-based statistical tests to identify brain regions where imagery decoding is consistently above chance across subjects. Our DA-enhanced searchlight predicts imagery contents in a highly distributed set of brain regions, including the visual cortex and the frontoparietal cortex, thereby outperforming standard cross-domain classification methods. The complete code and data for this paper have been made openly available for the use of the scientific community. © The Author(s) 2025.","Brain decoding; Domain Adaptation; FMRI; Searchlight","Brain; Classification (of information); Forecasting; Interfaces (computer); Tunneling (excavation); Baseline models; Brain decoding; Brain regions; Brain state; Cognitive neurosciences; Domain adaptation; FMRI; Mental imagery; Visual data; Visual perception; adaptation; Article; binary classification; brain; brain region; cognitive neuroscience; deep learning; Domain Adaptation; electroencephalogram; frontoparietal cortex; functional magnetic resonance imaging; fusiform gyrus; hemodynamics; human; image segmentation; imagery; logistic regression analysis; machine learning; mental imagery; neuroimaging; support vector machine; vision; visual cortex; Brain computer interface","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009369560"
"Wu X.; Long D.; Yang J.","Wu, Xiaolong (57857910500); Long, Dingfu (60175440800); Yang, Jianhong (35346208600)","57857910500; 60175440800; 35346208600","Generative motor imagery dynamic networks: EEG-controlled grasping via individualized model training","2025","Cognitive Neurodynamics","19","1","174","","","1","10.1007/s11571-025-10360-9","https://www.scopus.com/pages/publications/105020869011?origin=resultslist","Improving the accuracy of non-invasive brain–computer interface (BCI) and promoting their daily use can be achieved by developing an individualized model training framework, where individual training means that the model is based on small-sample learning from individual data. In the process of data augmentation through synthetic data, the criteria for data generation needs to be further specified according to the requirements. Therefore, in this study, the proposed BCI model utilizes dynamic networks to describe electroencephalogram (EEG) activity during the motor imagery (MI) task, innovatively generates individualized dynamic networks from individual data, and ultimately achieves EEG-controlled grasping through model training. Specifically, this study involves the EEG signals of the right-hand grasping movements of eight subjects and proposes using morphological pattern spectrum (MPS) to encode EEG potentials during MI processes. The MI condition representation was achieved by combining the dynamic networks with MPS encoding, and more dynamic network EEG encoding samples were synthesized through generative adversarial network (GAN) or variational autoencoder (VAE). The AUCs based on the long short-term memory (LSTM) architecture for generating and classifying can be improved by 0.003–0.07. The optimal BCI model based on the Wasserstein GAN and Granger causality (GC) dynamic network encoded by MPS achieved a mean true/false positive rate (TPR/FPR) of 90.0%/0.0%, far better than the 52.9%/4.4% achieved without individualized modeling. Moreover, the BCI establishment of handling multi-task and complex command outputs further demonstrates the reliability of MPS encoding of the GC dynamic network in BCI modeling. The advantage of this “generative-individual” approach is that it not only reduces the sample size requirement while ensuring accuracy but also avoids building models that are applicable to all individuals, which leads to difficult convergence. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Generative adversarial network; Granger causality; Morphology pattern spectrum; Motor imagery; Phase-amplitude coupling","adult; Article; autoencoder; electroencephalogram; false positive rate; female; generative adversarial network; Granger causality analysis; hand grasping; hand movement; human; human experiment; imagery; individualized model training; long short term memory network; machine learning; male; mathematical analysis; morphological pattern spectrum; motor imagery; normal human; reliability; signal processing; statistical parameters; true positive rate; variational autoencoder","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105020869011"
"Fadia L.; Shah V.; Hassanzadeh M.; Wu J.; Ahmadi M.","Fadia, Love (59937398600); Shah, Vatsal (59937398700); Hassanzadeh, Mohammad (55983553600); Wu, Jonathan (55613291700); Ahmadi, Majid (7103163168)","59937398600; 59937398700; 55983553600; 55613291700; 7103163168","A novel multi-modal dual pathway network with hierarchical channel-spatial attention and adaptive feature fusion for viral genomic variant classification","2025","Network Modeling Analysis in Health Informatics and Bioinformatics","14","1","75","","","1","10.1007/s13721-025-00576-4","https://www.scopus.com/pages/publications/105012300761?origin=resultslist","Purpose Classification of viral DNA sequences poses significant challenges in computational genomics, particularly in multi-class classification across diverse diseases. Existing studies often focus on binary or small-scale classifications, leaving a gap in addressing large-scale problems. Unbalanced datasets, where certain classes dominate due to limited data availability, further hinder model generalizability and accuracy. This article addresses these challenges and gaps in literature. We selected 17 distinct variants across six viruses: SARS-CoV-2 variants (Alpha, Delta, Omicron), Influenza subtypes (Alpha, Beta, Delta, Gamma), Hepatitis virus variants (B, C, D, E), Dengue Virus (Type1, Type 2, Type 3, Type 4), HIV, and Ebola. This study includes the largest number of distinct variants in a balanced dataset for classification reported in the literature. Methods Using a balanced dataset of 17,000 samples, the study ensures robust model performance while mitigating data imbalance biases. A novel Multi-Modal Dual Pathway Network is proposed, leveraging hierarchical channel-spatial attention and adaptive feature fusion to integrate complementary features. Genomic image processing techniques, including frequency chaos game representation (FCGR), Markov transition fields (MTF), and Gramian angular summation fields (GAF), enhance feature extraction. ResNet-50 pathways with convolutional block attention module (CBAM) refine feature maps for both scratch-trained and pre-trained pathways. Results The proposed model achieves a peak accuracy of 99.17% with MTF Order 2 fused with MTF Order 4. Other combinations, such as FCGR K=2 fused with MTF Order 4, also exceed 99.09% accuracy, demonstrating scalability and effectiveness. Conclusion This work sets a new benchmark for viral DNA classification, addressing data imbalance and advancing computational genomics through innovative methodologies. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.","Deep learning; Feature fusion; Genomic sequences; Image processing","Bioinformatics; Classification (of information); Computer viruses; Diseases; DNA sequences; Genes; Image enhancement; Markov processes; Viruses; nucleotide; Adaptive features; Deep learning; Features fusions; Genomic sequence; Genomics; Images processing; Multi-modal; Spatial attention; Transition fields; Viral DNA; accuracy; adaptive feature fusion; algorithm; amino acid sequence; architecture; Article; artificial neural network; bioinformatics; controlled study; convolutional neural network; coronavirus disease 2019; data visualization; deep learning; dengue; diagnostic test accuracy study; DNA sequence; evaluation study; fever; fractal analysis; frequency; gene sequence; genetic variability; hepatitis C; hepatitis virus; hierarchical channel spatial attention; human; image processing; influenza; learning algorithm; machine learning; mathematical analysis; mathematical model; multimodal imaging; prediction; prevalence; probability; receiver operating characteristic; residual neural network; sensitivity and specificity; support vector machine; virus; virus genome; virus strain; Deep learning","Article","Final","","Scopus","2-s2.0-105012300761"
"Fazio S.; Ribino P.; Gasparini F.; Marwan N.; Fazio P.; Gherardi M.; Mannone M.","Fazio, Sofia (59502025300); Ribino, Patrizia (23393633000); Gasparini, Francesca (7006683862); Marwan, Norbert (6602268525); Fazio, Peppino (15834504700); Gherardi, Marco (34871961900); Mannone, Maria (55642322100)","59502025300; 23393633000; 7006683862; 6602268525; 15834504700; 34871961900; 55642322100","K-operator for Modelling Neurodegeneration: Simulations, fMRI Application, Eigenvalue Analysis and Recurrence Plots","2025","Journal of Medical Systems","49","1","144","","","4","10.1007/s10916-025-02244-6","https://www.scopus.com/pages/publications/105019692919?origin=resultslist","The brain network damage provoked by a neurological disease can be modelled as the result of the action of an operator, K, acting on the brain, inspired by physics. Here, we explore the matrix formulation of K, analysing eigenvalues and eigenvectors, with heuristic considerations on different techniques to approximate it. The primary objective of this paper is to lay the foundational groundwork for an innovative framework aimed at the development of predictive models regarding the progression of neurodegenerative diseases. This endeavour will leverage the potential of integrating these novel representations of brain damage with advanced machine-learning techniques. A case study based on real-world data is presented here to support the proposed modelling. © The Author(s) 2025.","Alzheimer-Perusini’s disease progression; Functional network; K-operator; Parkinson; predictive models","Brain; Computer Simulation; Humans; Machine Learning; Magnetic Resonance Imaging; Models, Neurological; Neurodegenerative Diseases; adult; Article; brain damage; brain function; brain region; controlled study; degenerative disease; disease exacerbation; female; functional connectivity; functional magnetic resonance imaging; human; machine learning; major clinical study; male; nerve degeneration; neurologic disease; operator; Parkinson disease; predictive model; preliminary data; biological model; brain; computer simulation; degenerative disease; diagnostic imaging; nuclear magnetic resonance imaging; pathophysiology; procedures","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105019692919"
"Bukhari S.S.; Ansari S.U.; Jadoon K.K.; Ali R.H.","Bukhari, Syeda Sana (60097926100); Ansari, Shahab U. (37028238800); Jadoon, Khurram Khan (59031686700); Ali, Raja Hashim (56342801000)","60097926100; 37028238800; 59031686700; 56342801000","Artificial Intelligence-based phonocardiogram signal classification using segment-specific multi-domain features for cardiovascular and arterial disease","2025","Engineering Applications of Artificial Intelligence","161","","112280","","","10","10.1016/j.engappai.2025.112280","https://www.scopus.com/pages/publications/105015853766?origin=resultslist","Heart diseases are the leading cause of death globally, and early diagnosis coupled with timely treatment can save lives. The human heart produces sounds that reflect the functions of its valves and chambers, with murmurs often indicating abnormal heart behavior. The phonocardiogram (PCG) analysis offers a quick, easy, and affordable diagnostic method for detecting such conditions. The PhysioNet/2016 dataset, containing annotated heart sound recordings, has advanced automated heart sound classification research. Despite the dataset encompassing nine classes of heart diseases, it has primarily been used for binary classification tasks. Multi-class classification is challenging due to overlapping acoustic features among certain heart conditions and signal variability. To address these issues, we implemented segment specific feature extraction across six domains — time, frequency, amplitude, wavelet, spectrum, signal processing — and evaluated various machine learning classifiers. Our findings revealed that the Random Forest classifier outperformed others, leading us to integrate it into our model. On the testing dataset, it attained 94% accuracy, 93% sensitivity and 93% specificity for binary classification Our model achieved 89% accuracy, 80% sensitivity and 98% specificity for nine-class classification including both valve diseases and artery-related conditions. © 2025 Elsevier Ltd","Application of Artificial Intelligence; Biomedical signal processing; Diagnosis of heart disease; Machine learning classification; Segmentation of phonocardiogram; Wavelet decomposition","Acoustics; Artificial heart; Bioelectric phenomena; Biomedical signal processing; Cardiology; Classification (of information); Classifiers; Computer aided diagnosis; Diseases; Heart; Learning systems; Machine learning; Phonocardiography; Statistical tests; Application of artificial intelligence; Biomedical signals processing; Condition; Diagnose of heart disease; Heart disease; Heart sounds; Machine learning classification; Phonocardiograms; Segmentation of phonocardiogram; Wavelets decomposition; Wavelet decomposition","Article","Final","","Scopus","2-s2.0-105015853766"
"Kannengießer N.; Hasebrook N.; Morsbach F.; Zöller M.-A.; Franke J.K.H.; Lindauer M.; Hutter F.; Sunyaev A.","Kannengießer, Niclas (57211206495); Hasebrook, Niklas (59741466500); Morsbach, Felix (57224806308); Zöller, Marc-André (57200419565); Franke, Jörg K.H. (57219620326); Lindauer, Marius (56032621900); Hutter, Frank (55931808800); Sunyaev, Ali (24779131200)","57211206495; 59741466500; 57224806308; 57200419565; 57219620326; 56032621900; 55931808800; 24779131200","Practitioner Motives to Use Different Hyperparameter Optimization Methods","2025","ACM Transactions on Computer-Human Interaction","32","6","59","","","1","10.1145/3745771","https://www.scopus.com/pages/publications/105027953834?origin=resultslist","Programmatic hyperparameter optimization (HPO) methods, such as Bayesian optimization and evolutionary algorithms, are known for their sample efficiency in identifying optimal configurations for machine learning (ML) models. However, practitioners often use less efficient methods, such as grid search, potentially resulting in under-optimized models. This discrepancy suggests that HPO method selection may be influenced by practitioner-specific motives, which remain insufficiently understood hindering user-centered advancement of HPO tools. To uncover these motives, we conducted 20 semi-structured interviews and an online survey with 49 ML practitioners. We revealed six primary goals (e.g., increasing ML model understanding) and 14 contextual factors (e.g., available computational resources) that influence practitioners’ choices of HPO methods. This study provides a conceptual foundation for understanding real-world HPO practices and informs the development of more user-centered and context-adaptive HPO tools in automated ML (AutoML). © 2025 Copyright held by the owner/author(s).","Artificial Intelligence (AI); Automated Machine Learning (AutoML); Human-AI Collaboration; Hyperparameter Optimization (HPO); User-centered HPO","Automation; Bayesian networks; Human computer interaction; Information use; Learning algorithms; Learning systems; Machine learning; Optimization; Artificial intelligence; Automated machine learning; Automated machines; Human-artificial intelligence collaboration; Hyper-parameter optimizations; Hyperparameter optimization; Machine-learning; User-centered hyperparameter optimization; User-centred; Evolutionary algorithms","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105027953834"
"Abazar M.; Manavi F.; Altulyan M.; Ayari M.; Boostani R.","Abazar, Mahdieh (59997969500); Manavi, Farnoush (57203220820); Altulyan, May (57205672526); Ayari, Mohamed (57196582257); Boostani, Reza (23134407800)","59997969500; 57203220820; 57205672526; 57196582257; 23134407800","Multiscale and Kolmogorov entropies as effective features for malware detection","2025","Journal of Computer Virology and Hacking Techniques","21","1","20","","","1","10.1007/s11416-025-00567-z","https://www.scopus.com/pages/publications/105010715619?origin=resultslist","A variety of malicious software programs such as malware have been developed to damage computer systems for various purposes such as interfering users' daily tasks. Recently, there have been several studies focus on malware detection from different perspectives. Investigating the Opcodes of files is one of the famous approaches for malware detection. Recently, machine learning methods have been applied to distinguish extracted text features of Opcodes sequence into normal and malware files. Nevertheless, due to the length of sequences obtained from Opcodes, most of these methods discard considerable portions of Opcodes, resulting in a decrease in detection accuracy. In this paper, we address this problem by converting and treating Opcodes as discrete signals. At first, a signal is created by mapping the Opcodes of each file to a fixed number. After that, 15 informative entropy-based features have been elicited from the extracted signal of each file. We use machine learning classifiers such as random forest, different boosting classifiers and a convolutional neural network to detect malware-related features. The proposed method using 15 features archives an accuracy of 95.08%, which outperforms the counterparts. Among the entropy based features, composite multiscale entropy and Kolmogorov entropy provide the best accuracy over the famous benchmark. © The Author(s), under exclusive licence to Springer-Verlag France SAS, part of Springer Nature 2025.","Entropy; Malware; Malware detection; Opcode; Signal processing","Classification (of information); Computer software; Error detection; Learning systems; Machine learning; Malware; Random forests; Daily tasks; Entropy-based; Kolmogorov  entropies; Machine learning methods; Malware detection; Malwares; Multiscale entropy; Opcodes; Signal-processing; Software project; Entropy; Signal processing","Article","Final","","Scopus","2-s2.0-105010715619"
"Abdul-Rahman G.; Zwitter A.; Haleem N.","Abdul-Rahman, Germain (59216312700); Zwitter, Andrej (55460277400); Haleem, Noman (60008199100)","59216312700; 55460277400; 60008199100","A systematic literature review on the role of artificial intelligence in citizen science","2025","Discover Artificial Intelligence","5","1","165","","","4","10.1007/s44163-025-00437-z","https://www.scopus.com/pages/publications/105011251616?origin=resultslist","Citizen science (CS) has emerged as a collaborative process for addressing complex scientific and societal challenges. The emergence of artificial intelligence (AI) into CS projects, has transformed data collection, analysis, and validation steps. However, significant gaps remain in understanding the methodologies, applications, and challenges of AI-CS integration. Our systematic review seeks to address the gaps by answering three questions: (1) What AI methodologies are most commonly applied in CS projects? (2) How does AI integration impact the efficiency and scalability of CS initiatives? (3) What challenges arise from AI-CS integration, and how are they mitigated? Following the PRISMA-ScR guidelines, a systematic search of Scopus, ACM Digital Library, and Web of Science identified relevant articles published between 2013 and 2024. From an initial pool of 2,470 publications, 90 were retained after filtering through the eligibility criteria. Our findings illustrate ML techniques, including deep learning, clustering algorithms, and convolutional neural networks, boost data annotation, classification, and validation in applications across various disciplines. However, challenges such as data quality variability, algorithmic opacity, and scalability constraints persist. Our conclusion identifies the multifaceted role of AI in citizen science, categorized into three primary functions: (1) assisting or replacing humans in task completion, (2) influencing human behaviour and fostering engagement, and (3) improving insights through pattern identification and decision support. © The Author(s) 2025.","Artificial intelligence (AI); Citizen science (CS); Machine learning (ML)","Behavioral research; Clustering algorithms; Convolutional neural networks; Deep learning; Digital libraries; Distributed computer systems; Integration; Learning algorithms; Learning systems; Scalability; Artificial intelligence; Citizen science; Collaborative process; Data validation; Machine learning; Machine-learning; Science integrations; Science projects; Systematic literature review; Decision support systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011251616"
"Mena F.; Ienco D.; Dantas C.F.; Interdonato R.; Dengel A.","Mena, Francisco (57210598109); Ienco, Dino (25027558600); Dantas, Càssio F. (57194049789); Interdonato, Roberto (55926436900); Dengel, Andreas (6603764314)","57210598109; 25027558600; 57194049789; 55926436900; 6603764314","Multi-modal co-learning for Earth observation: enhancing single-modality models via modality collaboration","2025","Machine Learning","114","12","279","","","5","10.1007/s10994-025-06903-0","https://www.scopus.com/pages/publications/105022237238?origin=resultslist","Multi-modal co-learning is emerging as an effective paradigm in machine learning, enabling models to collaboratively learn from different modalities to enhance single-modality predictions. Earth Observation (EO) represents a quintessential domain for multi-modal data analysis, wherein diverse remote sensors collect data to sense our planet. This unprecedented volume of data introduces novel challenges. Specifically, the access to the same sensor modalities at both training and inference stages becomes increasingly complex based on real-world constraints affecting remote sensing platforms. In this context, multi-modal co-learning presents a promising strategy to leverage the vast amount of sensor-derived data available at the training stage to improve single-modality models for inference-time deployment. Most current research efforts focus on designing customized solutions for either particular downstream tasks or specific modalities available at the inference stage. To address this, we propose a novel multi-modal co-learning framework capable of generalizing across various tasks without targeting a specific modality for inference. Our approach combines contrastive and modality discriminative learning together to guide single-modality models to structure the internal model manifold into modality-shared and modality-specific information. We evaluate our framework on four EO benchmarks spanning classification and regression tasks across different sensor modalities, where only one of the modalities available during training is accessible at inference time. Our results demonstrate consistent predictive improvements over state-of-the-art approaches from the recent machine learning and computer vision literature, as well as EO-specific methods. The obtained findings validate our framework in the single-modality inference scenarios across a diverse range of EO applications. © The Author(s), under exclusive licence to Springer Science+Business Media LLC, part of Springer Nature 2025.","Co-learning; Earth observation; Multi-loss; Multi-modal data; Representation learning; Sensor data","Arts computing; Computer vision; Contrastive Learning; Earth (planet); Learning systems; Machine learning; Modal analysis; Co-learning; Earth observations; Inference stages; Machine-learning; Multi-loss; Multi-modal; Multi-modal data; Representation learning; Sensor modality; Sensors data; Remote sensing","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105022237238"
"Osa-Sanchez A.; Ramos-Martinez-de-Soria J.; Mendez-Zorrilla A.; Ruiz I.O.; Garcia-Zapirain B.","Osa-Sanchez, Ainhoa (58745853400); Ramos-Martinez-de-Soria, Javier (59513585700); Mendez-Zorrilla, Amaia (34877491100); Ruiz, Ibon Oleagordia (15728609300); Garcia-Zapirain, Begonya (35732954700)","58745853400; 59513585700; 34877491100; 15728609300; 35732954700","Wearable Sensors and Artificial Intelligence for Sleep Apnea Detection: A Systematic Review","2025","Journal of Medical Systems","49","1","66","","","34","10.1007/s10916-025-02199-8","https://www.scopus.com/pages/publications/105005549910?origin=resultslist","Sleep apnea, a prevalent disorder affecting millions of people worldwide, has attracted increasing attention in recent years due to its significant impact on public health and quality of life. The integration of wearable devices and artificial intelligence technologies has revolutionized the treatment and diagnosis of sleep apnea. Leveraging the portability and sensors of wearable devices, coupled with AI algorithms, has enabled real-time monitoring and accurate analysis of sleep patterns, facilitating early detection and personalized interventions for people suffering from sleep apnea. This article presents a systematic review of the current state of the art in identifying the latest artificial intelligence techniques, wearable devices, data types, and preprocessing methods employed in the diagnosis of sleep apnea. Four databases were used and the results before screening report 249 studies published between 2020 and 2024. After screening, 28 studies met the inclusion criteria. This review reveals a trend in recent years where methodologies involving patches, clocks and rings have been increasingly integrated with convolutional neural networks, producing promising results, particularly when combined with transfer learning techniques. We observed that the outcomes of various algorithms and their combinations also rely on the quantity and type of data utilized for training. The findings suggest that employing multiple combinations of different neural networks with convolutional layers contributes to the development of a more precise system for early diagnosis of sleep apnea. © The Author(s) 2025.","Artificial intelligence; Biomedical data; Sleep apnea disease; Wearable devices","Algorithms; Artificial Intelligence; Humans; Neural Networks, Computer; Polysomnography; Sleep Apnea Syndromes; Wearable Electronic Devices; acceleration; apnea hypopnea index; Article; artificial intelligence; artificial neural network; Bayesian learning; bioelectrical impedance analysis; body movement; body position; body temperature; breathing mechanics; breathing pattern; convolutional neural network; deep learning; detection algorithm; early diagnosis; electrocardiogram; electrocardiography; electroencephalogram; electromyogram; electrooculogram; feature extraction; hemodynamics; human; k nearest neighbor; long short term memory network; machine learning; machine learning algorithm; obstructive sleep apnea; oxygen saturation; photoelectric plethysmography; polysomnography; random forest; recurrent neural network; residual neural network; RR interval; sleep apnea syndromes; sleep efficiency; sleep pattern; sleep quality; sleep stage; sleep time; sleep waking cycle; systematic review; temperature measurement; transfer of learning; vibration; wake after sleep onset; algorithm; diagnosis; sleep apnea syndromes; wearable computer","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005549910"
"Khoushehgir F.; Noshad Z.","Khoushehgir, Fatemeh (58079027400); Noshad, Zahra (57224468341)","58079027400; 57224468341","Predicting ncRNA–Protein interactions with a graph attention model exploiting personalized subgraphs","2025","Journal of Bioinformatics and Computational Biology","23","6","2550019","","","0","10.1142/S0219720025500192","https://www.scopus.com/pages/publications/105024095097?origin=resultslist","Predicting interactions between ncRNAs and proteins is crucial for advancing our understanding of gene regulation, disease mechanisms, targeted drug design, and biomarker discovery, thereby driving innovation in research and therapeutic development. Numerous computational methods, particularly those employing machine learning and deep learning, have been proposed to address this challenge. Recent studies show that graph neural networks (GNNs) enhance ncRNA–protein interaction prediction accuracy by capturing intricate relationships and structural details in molecular data. However, current GNN approaches frequently rely on fixed-hop subgraphs for structural analysis, limiting their capacity to capture diverse interaction patterns fully. This fixed-hop approach may omit crucial nodes and edges outside the predefined neighborhood, potentially reducing prediction accuracy. To overcome this constraint, we introduce a novel method for ncRNA–protein interaction prediction by extracting the most informative subgraphs around each interaction using the personalized subgraph selection framework. These subgraphs are then utilized in a graph attention network (GAT) to learn node representations. K-mer frequencies are used to capture sequence-level features, while node2vec embeddings capture structural information, providing the GNN with a robust set of features. Experimental results on relevant datasets indicate a significant improvement in predicting ncRNA–protein interactions, with the algorithm maintaining an acceptable level of computational complexity even on large datasets. By integrating both sequence and structural insights through personalized subgraphs, this approach delivers a more accurate and scalable solution for predicting ncRNA–protein interactions. © 2025 World Scientific Publishing Europe Ltd.","graph attention neural network; link prediction; ncRNA–protein interaction; personalized subgraphs","Algorithms; Computational Biology; Humans; Machine Learning; Neural Networks, Computer; RNA, Untranslated; untranslated RNA; algorithm; artificial neural network; bioinformatics; chemistry; genetics; human; machine learning; metabolism; procedures","Article","Final","","Scopus","2-s2.0-105024095097"
